gl_account_name,company_id_1,product_id_1,warehouse,credit,debit,id,move_line_id,date,invoice_origin,name,move_type,gl_account_id,product_id_0,price_unit,quantity,company_id_0,producer,tdv_code,partner_id,partner_name,category_id,sale_origin_0,sale_origin_1,is_mto,mto_product_id,picking_date,sales_order_date
501300 Discount on sales,TD Lagos,,Unknown Warehouse,0,3286.00,6569374,30231189,3-May-2024,False,MISC/2024/05/000000059,entry,284,,0,1,3,Nestle Nigeria Plc,,,,,,,False,0,,
501300 Discount on sales,TD Lagos,,Unknown Warehouse,0,61750.00,6570007,30233333,3-May-2024,False,MISC/2024/05/000000064,entry,284,,0,1,3,Coca-Cola Company,,,,,,,False,0,,
501300 Discount on sales,TD Lagos,,Unknown Warehouse,0,94000.00,6571393,30236936,4-May-2024,False,MISC/2024/05/000000069,entry,284,,0,1,3,FrieslandCampina WAMCO Nigeria,,,,,,,False,0,,
501300 Discount on sales,TD Lagos,,Unknown Warehouse,0,91318.00,6571397,30236946,4-May-2024,False,MISC/2024/05/000000070,entry,284,,0,1,3,Chi Nigeria Limited,,,,,,,False,0,,
501300 Discount on sales,TD Lagos,,Unknown Warehouse,0,2025.00,6571443,30237064,4-May-2024,False,MISC/2024/05/000000072,entry,284,,0,1,3,FrieslandCampina WAMCO Nigeria,,,,,,,False,0,,
501300 Discount on sales,TD Lagos,,Unknown Warehouse,0,5825.00,6571465,30237116,4-May-2024,False,MISC/2024/05/000000073,entry,284,,0,1,3,FrieslandCampina WAMCO Nigeria,,,,,,,False,0,,
501300 Discount on sales,TD Lagos,,Unknown Warehouse,0,64949.50,6571775,30237794,4-May-2024,False,MISC/2024/05/000000074,entry,284,,0,1,3,Seven-Up,,,,,,,False,0,,
501300 Discount on sales,TD Lagos,,Unknown Warehouse,0,116.23,6572124,-1,4-May-2024,False,MISC/2024/05/000000078,entry,284,,0,1,3,DUFIL Prima foods Plc,,,,,,,False,0,,
501300 Discount on sales,TD Lagos,,Unknown Warehouse,0,207.53,6572124,-1,4-May-2024,False,MISC/2024/05/000000078,entry,284,,0,1,3,Nasco,,,,,,,False,0,,
501300 Discount on sales,TD Lagos,,Unknown Warehouse,0,553.41,6572124,-1,4-May-2024,False,MISC/2024/05/000000078,entry,284,,0,1,3,FrieslandCampina WAMCO Nigeria,,,,,,,False,0,,
501300 Discount on sales,TD Lagos,,Unknown Warehouse,0,336.73,6572124,-1,4-May-2024,False,MISC/2024/05/000000078,entry,284,,0,1,3,HELL ENERGY MAGYARORSZAG KFT,,,,,,,False,0,,
